package,version,url,bytes,sha256
lattice,0.22-9,https://cran.r-project.org/src/contrib/Archive/lattice/lattice_0.22-9.tar.gz,636784,b72ad4ed2e5269fa7cf668e46f83a9b5d9d5f8fdcbc5b9886531ca19dffca4ba
Matrix,1.7-5,https://cran.r-project.org/src/contrib/Archive/Matrix/Matrix_1.7-5.tar.gz,2529215,308b0edd7bcb023a8bb50cc5cec98e66b3658c94a5badfb1ce6024e595fa8a83
survival,3.8-6,https://cran.r-project.org/src/contrib/Archive/survival/survival_3.8-6.tar.gz,9549370,9a4c0a35d86c64ec5a6e6cf179ab22dcffb5ce1d313d2880a09f1e53422699d7
Rcpp,1.1.1-1.1,https://cran.r-project.org/src/contrib/Archive/Rcpp/Rcpp_1.1.1-1.1.tar.gz,1883279,32e5d5fee4080c8ca315f31b74c3eaa6367a1900e92e860e00390c9565f5fbe1
RcppArmadillo,15.4.0-1,https://cran.r-project.org/src/contrib/Archive/RcppArmadillo/RcppArmadillo_15.4.0-1.tar.gz,1092953,fae8ea3e61b8c2006d0b140e9a6c4001b7de78c3afd1eaa54c6cd2ea80ac198d
DBI,1.3.0,https://cran.r-project.org/src/contrib/DBI_1.3.0.tar.gz,744704,13def8e90cbe41205a0dfcf585a6a7ea79ce10d45969789e82613c7ce3d5fb18
mitools,2.4,https://cran.r-project.org/src/contrib/Archive/mitools/mitools_2.4.tar.gz,229514,f204f3774e29d79810f579f128de892539518f2cbe6ed237e08c8e7283155d30
minqa,1.2.8,https://cran.r-project.org/src/contrib/minqa_1.2.8.tar.gz,54644,5941e4b9b01978fc6d9fe24e6ca60cca66883fe9fa6ff3cbfa32aa1ac9db5467
numDeriv,2016.8-1.1,https://cran.r-project.org/src/contrib/numDeriv_2016.8-1.1.tar.gz,76053,d8c4d19ff9aeb31b0c628bd4a16378e51c1c9a3813b525469a31fe89af00b345
survey,4.5,https://cran.r-project.org/src/contrib/survey_4.5.tar.gz,2417046,8a2ab01759f9acf6000274255edf00e342dfbf320a39fb76d42594e4d262b519
