cycle,filename,relative_path,url,bytes,sha256,documentation_url
2003-2004,DEMO_C.XPT,2003-2004/DEMO_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.XPT,3569840,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.htm
2003-2004,PAQ_C.XPT,2003-2004/PAQ_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAQ_C.XPT,1488000,085928dcff32acc98efc8d1d30eeceb022b56d6ab565e0572251a325a576c765,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAQ_C.htm
2003-2004,BMX_C.XPT,2003-2004/BMX_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BMX_C.XPT,2551120,b3d3e431b5964ea8b5807035044322fcf32f3878d814d4a844204e51c793f090,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BMX_C.htm
2003-2004,SMQ_C.XPT,2003-2004/SMQ_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/SMQ_C.XPT,1932320,fbfe1e4b286ab43fdc3fd84c3830bb241b8b5ca84b3ab5902b8808e4136efc2c,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/SMQ_C.htm
2003-2004,MCQ_C.XPT,2003-2004/MCQ_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.XPT,11904960,42487737067c5dbdf533bb91b5f752d1fff1dfa9eed91c7ae54ab5e49b65b019,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.htm
2003-2004,DIQ_C.XPT,2003-2004/DIQ_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DIQ_C.XPT,1314880,e64a1db590d733c812359abb0da6fdc3f20860ec3f89aec24442df994e90befe,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DIQ_C.htm
2003-2004,PAQIAF_C.XPT,2003-2004/PAQIAF_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAQIAF_C.XPT,722320,51e7648d91f3c3be158aa43d2d6732d93f9c8aa0f6fddef7d31eb24402c71904,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAQIAF_C.htm
2003-2004,PAXRAW_C.zip,2003-2004/PAXRAW_C.zip,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAXRAW_C.zip,427543657,51cddc4254fd970599ed12b019876b1106a9d981eb631c2b4cdc0e0509f4cdb7,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/PAXRAW_C.htm
2003-2004,NHANES_2003_2004_MORT_2019_PUBLIC.dat,2003-2004/NHANES_2003_2004_MORT_2019_PUBLIC.dat,https://ftp.cdc.gov/pub/health_statistics/NCHS/datalinkage/linked_mortality/NHANES_2003_2004_MORT_2019_PUBLIC.dat,495722,639f6b3292a55b112fbfc842954af3d8d32bcce287cd8ae49319e5aca1c033c0,https://www.cdc.gov/nchs/data-linkage/mortality-public.htm
2005-2006,DEMO_D.XPT,2005-2006/DEMO_D.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.XPT,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.htm
